customerID,churn_probability,risk_segment,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0.45901293,Medium Risk,29.85,29.85,No
5575-GNVDE,0.17587745,Low Risk,56.95,1889.5,No
3668-QPYBK,0.20739228,Low Risk,53.85,108.15,Yes
7795-CFOCW,0.23309599,Low Risk,42.3,1840.75,No
9237-HQITU,0.5103967,High Risk,70.7,151.65,Yes
9305-CDSKC,0.49736,Medium Risk,99.65,820.5,Yes
1452-KIOVK,0.47501892,Medium Risk,89.1,1949.4,No
6713-OKOMC,0.26465726,Low Risk,29.75,301.9,No
7892-POOKP,0.63656443,High Risk,104.8,3046.05,Yes
6388-TABGU,0.15842688,Low Risk,56.15,3487.95,No
9763-GRSKD,0.2462002,Low Risk,49.95,587.45,No
7469-LKBCI,0.053953283,Low Risk,18.95,326.8,No
8091-TTVAX,0.45148498,Medium Risk,100.35,5681.1,No
0280-XJGEX,0.36339363,Medium Risk,103.7,5036.3,Yes
5129-JLPIS,0.27240512,Low Risk,105.5,2686.05,No
3655-SNQYZ,0.04437191,Low Risk,113.25,7895.15,No
8191-XWSZG,0.24498026,Low Risk,20.65,1022.95,No
9959-WOFKT,0.09035775,Low Risk,106.7,7382.25,No
4190-MFLUW,0.321907,Medium Risk,55.2,528.35,Yes
4183-MYFRB,0.3868776,Medium Risk,90.05,1862.9,No
8779-QRDMV,0.5231821,High Risk,39.65,39.65,Yes
1680-VDCWW,0.2662223,Low Risk,19.8,202.25,No
1066-JKSGK,0.4145267,Medium Risk,20.15,20.15,Yes
3638-WEABW,0.032048907,Low Risk,59.9,3505.1,No
6322-HRPFA,0.19268745,Low Risk,59.6,2970.3,No
6865-JZNKO,0.1669087,Low Risk,55.3,1530.6,No
6467-CHFZW,0.56876004,High Risk,99.35,4749.15,Yes
8665-UTDHZ,0.45938635,Medium Risk,30.2,30.2,Yes
5248-YGIJN,0.03468368,Low Risk,90.25,6369.45,No
8773-HHUOZ,0.388881,Medium Risk,64.7,1093.1,Yes
3841-NFECX,0.030092098,Low Risk,96.35,6766.95,No
4929-XIHVW,0.49265152,Medium Risk,95.5,181.65,No
6827-IEAUQ,0.32928476,Medium Risk,66.15,1874.45,No
7310-EGVHZ,0.45734814,Medium Risk,20.2,20.2,No
3413-BMNZE,0.42329565,Medium Risk,45.25,45.25,No
6234-RAAPL,0.04164805,Low Risk,99.9,7251.7,No
6047-YHPVI,0.53174275,High Risk,69.7,316.9,Yes
6572-ADKRS,0.45495817,Medium Risk,74.8,3548.3,No
5380-WJKOV,0.5162519,High Risk,106.35,3549.25,Yes
