customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,avg_charges_per_tenure,charge_difference,total_services,has_online_services,has_streaming,contract_score,payment_risk_score,customer_value_score,loyalty_score
7590-VHVEG,Female,0,Yes,No,1,No,No_phone_service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0-12,14.925,-14.925,1,1,0,0,3,9.455,0.005555555555555556
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,25-48,53.98571428571429,-2.9642857142857153,3,1,0,1,1,28.085,0.538888888888889
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0-12,36.050000000000004,-17.799999999999997,3,1,0,0,1,17.355000000000004,0.2111111111111111
7795-CFOCW,Male,0,No,No,45,No,No_phone_service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,25-48,40.016304347826086,-2.283695652173911,3,1,0,1,0,26.99,0.7
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0-12,50.550000000000004,-20.15,1,0,0,0,3,22.01,0.011111111111111112
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0-12,91.16666666666667,-8.483333333333334,5,1,1,0,3,33.295,0.044444444444444446
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,13-24,84.75652173913043,-4.34347826086956,4,1,1,0,0,34.129999999999995,0.4222222222222222
6713-OKOMC,Female,0,No,No,10,No,No_phone_service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0-12,27.44545454545454,-2.3045454545454582,1,1,0,0,1,12.124999999999998,0.2555555555555556
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,25-48,105.03620689655173,0.2362068965517352,6,1,1,0,3,41.04,0.15555555555555556
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,61-72,55.364285714285714,-0.7857142857142847,3,1,0,1,0,36.245,0.7944444444444445
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,13-24,41.96071428571429,-7.989285714285714,2,1,0,0,1,19.284999999999997,0.27222222222222225
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two year,No,Credit card (automatic),18.95,326.8,No,13-24,19.223529411764705,0.2735294117647058,1,0,0,2,0,11.084999999999999,0.6888888888888889
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,49-60,96.28983050847458,-4.060169491525414,5,1,1,1,0,48.705,0.7722222222222221
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,49-60,100.726,-2.9740000000000038,6,1,1,0,0,47.010000000000005,0.5722222222222222
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,25-48,103.3096153846154,-2.190384615384602,6,1,1,0,3,40.35,0.1388888888888889
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,61-72,112.78785714285713,-0.4621428571428652,8,1,1,2,0,56.675,0.9833333333333334
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One year,No,Mailed check,20.65,1022.95,No,49-60,19.300943396226415,-1.3490566037735832,1,0,0,1,1,22.194999999999997,0.6388888888888888
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,61-72,102.53125,-4.168750000000003,6,1,1,2,0,54.910000000000004,0.9944444444444445
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0-12,48.03181818181818,-7.1681818181818215,3,1,0,0,0,20.16,0.35555555555555557
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,13-24,84.67727272727274,-5.372727272727261,4,1,1,0,3,34.114999999999995,0.11666666666666668
